AL,0.08,1.431975901,0.29,0.319
FL,0.0741,1.479218598,0.182,0.182
IA,0.0789,1.429187973,0.284,0.316
MS,0.0756,1.442559948,0.213,0.213
TN,0.0837,1.464012814,0.293,0.318
VA,0.098,1.602724044,0.277,0.215
