Abb,nu,Y_K ratio,phi_k,phi_l,phi,theta,mu,gamma,N,eta
NC,0.0852,1.531420798,0.312,0.318,0.981,0.243153681,0.521939601,0.068622264,1.992145871,3.025017474
WA,0.082,1.4878839,0.255,0.305,0.836,0.201982115,0.524349978,0.077731731,2.070602039,3.164455377
